GENESIS-Tabelle: 51000-22i
Aus- und Einfuhr nach Gruppen (247) des;;;;;;
Güterverzeichnisses der Produktionsstatistiken GP 2019;;;;;;
- Land - Jahr (ab 2008);;;;;;
Außenhandel;;;;;;
Nordrhein-Westfalen;;;;;;
;;;Ausfuhr: Gewicht;Ausfuhr;Einfuhr: Gewicht;Einfuhr
;;;t;Tsd. EUR;t;Tsd. EUR
2016;2443;Blei, Zink und Zinn und Halbzeug daraus;130372;331444;301688;738810
2016;2444;Kupfer und Halbzeug daraus;365450;2222891;315788;1515468
2016;2445;Sonstige NE-Metalle und Halbzeug daraus;57623;644211;112570;925570
2016;2446;Kernbrennstoffe;247;12450;6979;360670
2016;2451;Eisengießereierzeugnisse;2013;9703;16492;39169
2016;2452;Stahlgießereierzeugnisse;951;13218;1853;19311
2016;2511;Metallkonstruktionen;429340;977667;322760;705404
2016;2512;Ausbauelemente aus Stahl und Aluminium;50674;253362;23359;88641
2016;2521;Heizkörper u. -kessel für Zentralheizungen, Teile;22520;243620;39568;301377
2016;2529;Sonstige Metallbehälter, Fassungsvermögen>300l;41862;135450;27488;81029
2016;2530;Dampfkessel (-erzeuger), Kernreaktoren, Teile;4872;64241;2326;15044
2016;2540;Waffen und Munition, Teile dafür;834;61407;2644;55324
2016;2571;Schneidwaren und Bestecke, aus unedlen Metallen;7887;269576;16023;219304
2016;2572;Schlösser und Beschläge, aus unedlen Metallen;263540;2029452;172915;1042437
2016;2573;Werkzeuge;57613;1420425;82259;1170631
2016;2591;Metallbehälter, Fassungsvermögen<=300l;59079;202271;16959;44424
2016;2592;Verpackungen und Verschlüsse, aus Eisen, Stahl;48873;278009;31364;146710
2016;2593;Drahtwaren, Ketten und Federn;300791;893867;232915;408289
2016;2594;Schrauben und Nieten;244445;1316792;286989;851956
2016;2599;Andere Metallwaren, a.n.g.;491764;2045656;467566;1732382
2016;2611;Elektronische Bauelemente;3584;1179711;9589;2114087
2016;2612;Bestückte Leiterplatten;1221;140628;5402;382128
2016;2620;Datenverarbeitungsgeräte und periphere Geräte;38199;1545707;181387;7324761
2016;2630;Geräte u. Einricht. d. Telekommunikationstechnik;6038;645211;28914;4704740
2016;2640;Geräte der Unterhaltungselektronik;10245;559676;52323;1676630
2016;2651;Mess-,Kontroll-,Navigations- u.ä. Instr. u. Vorr.;25089;2868105;30593;2438698
2016;2652;Uhren;287;84212;3545;463085
2016;2660;Bestrahlungs-,Elektrotherapie-,elektromed. Geräte;1524;195871;3530;436858
2016;2670;Optische und fotografische Instrumente und Geräte;3610;615978;5566;854803
2016;2680;Magnetische und optische Datenträger;1680;18970;1210;35149
2016;2711;Elektromotoren,Generatoren,Transformatoren,Teile;86139;1725870;174750;1954043
2016;2712;Elektrizitätsverteilungs- und -schalteinrichtungen;40509;2051473;45280;1395651
2016;2720;Akkumulatoren und Batterien;66098;335176;89934;512432
2016;2731;Glasfaserkabel;5225;53339;3392;62454
2016;2732;Sonstige elektronische und elektrische Kabel;117779;992854;83054;651858
2016;2733;Elektrisches Installationsmaterial;55317;1956904;38605;1103466
2016;2740;Elektrische Lampen und Leuchten;25425;1230845;113227;1559957
2016;2751;Elektrische Haushaltsgeräte, Teile dafür;145401;1582700;326059;2111829
2016;2752;Nicht elektrische Haushaltsgeräte, Teile dafür;10831;85875;32734;170525
2016;2790;Sonstige elektr. Ausrüstungen und Geräte a.n.g.;42250;936011;54763;814382
2016;2811;Verbrennungsmotoren und Turbinen;278381;2576790;59605;671010
2016;2812;Hydraulische, pneumatische Komponenten und Systeme;18518;518701;18427;358885
2016;2813;Sonstige Pumpen und Kompressoren;103822;2296640;84441;1088288
2016;2814;Armaturen;75042;1962831;92111;1239380
2016;2815;Lager, Getriebe, Zahnräder und Antriebselemente;254005;2879840;192504;1472890
2016;2821;Öfen und Brenner, Teile dafür;25231;496954;15914;123060
2016;2822;Hebezeuge und Fördermittel;193873;1620278;134287;708445
2016;2823;Büromaschinen;11255;436682;32262;1402927
2016;2824;Handgeführte, kraftbetrieb. Werkzeuge, Teile dafür;3565;157769;22036;372181
2016;2825;Kälte- u. lufttechn. Erzeugn. für gewerbl. Zwecke;66555;1023532;111911;1496021
2016;2829;Sonstige nicht wirtschaftszweigspezif. Maschinen;145766;3332090;90726;1229541
2016;2830;Maschinen für die Landwirtschaft, Forstwirtschaft;141005;1367350;85599;503014
2016;2841;Werkzeugmaschinen f.d. Metallbearbeitung, Teile;65659;1383483;49506;588770
2016;2849;Werkzeugmaschinen a.n.g., -teile, -zubehör;46245;799469;13847;196190
2016;2891;Masch. f.d. Metallerzg.,Walzwerkseinr., Gießmasch.;57411;318954;24730;109121
2016;2892;Bergwerks-, Bau- u. Baustoffmaschinen, Teile dafür;153335;1336092;170205;736050
2016;2893;Masch.f.Nahrungs-,Futterm.-,Getränkeh.,Tabakv., T.;12611;379492;8278;162858
2016;2894;Masch. f.Textil-,Bekleidungsh.,Ledererzg.,-verarb.;68689;1287793;30547;256365
2016;2895;Maschinen f.d. Papiererzeugung und -verarbeitung;14437;441273;5750;94843
2016;2896;Maschinen f. Kunststo.-,Gummierzeug.,-verarbeitung;37538;1115178;15715;234266
2016;2899;Maschinen f. sonst. best. Wirtschaftszweige a.n.g.;99886;2111572;69854;1016784
2016;2910;Kraftwagen und Kraftwagenmotoren;821087;7570471;1317170;14522250
2016;2920;Karosserien, Aufbauten und Anhänger;450995;2007756;280811;752361
2016;2931;Elektr.,elektron. Ausrüstungen für Motoren a.n.g.;13032;310232;48976;824929
2016;2932;Andere Teile und anderes Zubehör für Kraftwagen;1152019;6943712;655432;4127220
2016;3011;Schiffe (ohne Boote und Yachten);4933;22497;27457;25848
2016;3012;Boote und Yachten;349;8007;801;14821
2016;3020;Schienenfahrzeuge;81570;1237024;61564;454557
2016;3030;Luft- und Raumfahrzeuge;5704;544399;1658;655360
2016;3040;Militärische Kampffahrzeuge;-;-;-;-
2016;3091;Krafträder;4074;90479;14990;305799
2016;3092;Fahrräder und Behindertenfahrzeuge;7684;90489;33466;459408
2016;3099;Fahrzeuge, a.n.g.;8675;36425;8071;26474
2016;3100;Sitzmöbel und Teile dafür, Teile für Möbel;198044;677478;589339;1799622
2016;3101;Büromöbel, Ladenmöbel aus Holz;28664;179451;47772;110781
2016;3102;Küchenmöbel aus Holz;270861;1260753;41206;41607
2016;3103;Matratzen;8106;42475;33852;129070
2016;3109;Sonstige Möbel;85661;379627;463348;947339
2016;3511;Elektrischer Strom;0;696691;0;134341
2016;3521;Industriell erzeugte Gase;-;-;-;-
2016;8900;Sonstige Waren;9044492;11493333;12466510;20434743
2016;8988;Sperrungen in der Außenhandelsstatistik;-;-;-;-
2016;;Insgesamt;101783814;179084810;184861687;206694310
2015;0111;Getreide (ohne Reis), Hülsenfrüchte und Ölsaaten;850879;209591;3441715;1232454
2015;0112;Reis;-;-;3228;2691
2015;0113;Gemüse und Melonen sowie Wurzeln und Knollen;814810;139985;1460189;1317019
2015;0114;Zuckerrohr;-;-;7;7
2015;0115;Tabak;7;24;900;42171
2015;0116;Faserpflanzen;0;0;18860;20689
2015;0119;Sonstige einjährige Pflanzen;44464;101069;136882;515806
2015;0121;Wein- und Tafeltrauben;1596;3128;74906;149080
2015;0122;Tropische und subtropische Früchte;-;-;311223;253983
2015;0123;Zitrusfrüchte;-;-;318630;268951
2015;0124;Kern- und Steinobst;3631;3551;309170;304893
2015;0125;Sonstiges Baum- und Strauchobst und Nüsse;13986;112185;169534;653753
2015;0126;Ölhaltige Früchte;188;403;2683;4839
2015;0127;Pflanzen zur Herstellung von Getränken;-;-;38208;104093
2015;0128;Gewürzpflanzen, Pflanzen für z.B. pharmaz. Zwecke;1743;14796;14627;53855
2015;0129;Sonstige mehrjährige Pflanzen;4445;5560;25543;28811
2015;0130;Baumschulerzeugnisse,Pflanzen z.Vermehrungszweck.;116679;302358;366106;589972
2015;0141;Kühe und Färsen, lebend;14579;43974;2353;6437
2015;0142;Sonstige Rinder und Büffel, lebend, Sperma;17166;50624;1100;5426
2015;0143;Pferde und Esel, lebend;516;25087;374;9750
2015;0144;Kamele und Kamelartige, lebend;-;-;-;-
2015;0145;Schafe und Ziegen, lebend;38;111;8;37
2015;0146;Schweine, lebend;31813;54389;282629;379215
2015;0147;Geflügel, lebend, sowie Eier;171672;142625;187407;266234
2015;0149;Sonstige Nutztiere und tierische Erzeugnisse;1553;9344;1726;18505
2015;0210;Waldbestand sowie Erzeugnisse von Forstbaumschulen;203;430;1722;3979
2015;0220;Rohholz;452479;42999;396893;48070
2015;0230;Wildwachsende Produkte (ohne Holz);4749;18058;21680;64363
2015;0300;Fische u. Fischereierzeugnisse, Aquakulturerzeug.;972;6285;11952;58999
2015;0510;Steinkohle;159829;30194;22684134;1685404
2015;0520;Braunkohle;789357;68418;18872;1092
2015;0610;Erdöl;-;-;24315039;8868167
2015;0620;Erdgas, verflüssigt oder gasförmig;-;-;24558953;7242090
2015;0710;Eisenerze;58128;2817;22263374;1295627
2015;0721;Uran- und Thoriumerze;-;-;-;-
2015;0729;NE-Metallerze (ohne Uran- und Thoriumerze);113715;62317;921899;666850
2015;0811;Natur-,-werk-, Kalk-, Gipssteine, Kreide, Schiefer;203198;11922;730151;15888
2015;0812;Kies, Sand, Ton und Kaolin;12841122;128062;1659816;138780
2015;0891;Chemische und Düngemittelminerale;200370;33105;340359;56386
2015;0892;Torf;36672;6086;104069;9347
2015;0893;Salz, reines Natriumchlorid (ohne Speisesalz);1208232;44945;1944377;72747
2015;0899;Steine, Erden, a.n.g., sonstige Bergbauerzeugnisse;566438;27886;640973;138702
2015;1011;Fleisch (ohne Geflügel);1506912;2414679;627192;1249499
2015;1012;Geflügelfleisch;63791;73577;180703;402008
2015;1013;Verarbeitetes Fleisch;265597;806727;142720;459814
2015;1020;Fischerzeugnisse und andere Meeresfrüchte;50106;161014;90897;471782
2015;1031;Verarbeitete Kartoffeln und Kartoffelerzeugnisse;15684;27522;132451;123031
2015;1032;Frucht- u.Gemüsesäfte,n. gegoren,oh. Alkoholzusatz;263206;177766;311885;312430
2015;1039;Verarbeitetes Obst und Gemüse, a.n.g.;241563;425265;662411;873374
2015;1041;Öle und Fette (ohne Margarine und Nahrungsfette);1578792;834058;2040140;1409598
2015;1042;Margarine und Nahrungsfette;75229;89243;52457;62694
2015;1051;Milch und Milcherzeugnisse (ohne Speiseeis);973619;722126;588771;1280977
2015;1052;Speiseeis;79826;181351;30799;73136
2015;1061;Mahlerzeugnisse und Schälmühlenerzeugnisse;589463;241340;388758;251322
2015;1062;Stärke und Stärkeerzeugnisse;1326938;301098;886478;325265
2015;1071;Backwaren (ohne Dauerbackwaren);164209;296246;123388;241129
2015;1072;Dauerbackwaren;170747;441199;148478;366646
2015;1073;Teigwaren;2393;3947;39797;47770
2015;1081;Zucker;324034;100657;273371;119151
2015;1082;Süßwaren (ohne Dauerbackwaren);322939;1195469;258113;1069160
2015;1083;Kaffee und Tee, Kaffee-Ersatz;45858;302964;45249;361586
2015;1084;Würzen und Soßen;107416;106683;119058;154043
2015;1085;Fertiggerichte;105137;305073;76135;191863
2015;1086;Homogenisierte Nahrungsmittelzubereitungen;19255;152105;34226;117836
2015;1089;Sonstige Nahrungsmittel, a.n.g.;154884;318678;78821;314716
2015;1091;Futtermittel für Nutztiere;430798;162354;507101;232791
2015;1092;Futtermittel für sonstige Tiere, zubereitet;202473;290361;144529;219133
2015;1101;Spirituosen;3600;9963;75207;244602
2015;1102;Traubenwein;8531;15868;166682;348156
2015;1103;Apfelwein u. Fruchtweine, alkoholh. Mischgetränke;10477;8414;3394;5476
2015;1104;Wermutwein und andere aromatisierte Weine;139;308;1114;1214
2015;1105;Bier;290610;124509;82703;40150
2015;1106;Malz;84415;33542;68208;24340
2015;1107;Erfrischungsgetränke, natürliches Mineralwasser;2323280;225462;257769;120743
2015;1200;Tabakerzeugnisse;2168;113311;11250;178028
2015;1310;Textile Spinnstoffe und Garne;24564;43133;72501;178136
2015;1320;Gewebe;43713;447333;83278;599207
2015;1391;Gewirke und Gestricke;6383;95696;11635;80740
2015;1392;Konfektionierte Textilwaren (ohne Bekleidung);34206;340087;212146;1414707
2015;1393;Teppiche und textile Fußbodenbeläge;17008;98355;85752;311814
2015;1394;Seilerwaren;4926;26185;17668;41441
2015;1395;Vliesstoffe und Vliesstofferzeugnisse;95496;469609;62404;208051
2015;1396;Technische Textilien;53275;568176;29086;309612
2015;1399;Sonstige Textilwaren, a.n.g.;17618;49834;6906;39852
2015;1411;Bekleidung aus Leder oder rekonstituiertem Leder;277;10006;1692;98286
2015;1412;Arbeitsbekleidung und Berufsbekleidung;470;14278;6299;118730
2015;1413;Sonstige Oberbekleidung;84877;379998;161619;3713346
2015;1414;Wäsche;6714;218942;125290;2717618
2015;1419;Bekleidung und Bekleidungszubehör, a.n.g.;5204;128438;55527;1049016
2015;1420;Pelzwaren;4;1395;311;11729
2015;1431;Strumpfwaren;3434;111748;26546;401315
2015;1439;Bekleidung a.n.g., aus Gewirken oder Gestricken;2744;87614;49516;1126647
2015;1511;Leder u. -faserstoff, zuger. u. gefärbte Felle;4068;138321;5998;111671
2015;1512;Lederwaren (ohne Lederbekleidung und Schuhe);7027;162169;55499;799568
2015;1520;Schuhe;8420;308318;94607;1997261
2015;1610;Holz, gesägt und gehobelt;489943;173633;616214;213443
2015;1621;Furnier-, Sperrholz-, Holzfaser-, Holzspanplatten;689521;487223;804144;436850
2015;1622;Parkettböden;6385;19855;23644;61671
2015;1623;Holzkonstruktionen, -bauteile, -fertigteilbauten;32583;102441;51566;87636
2015;1624;Holzverpackungen, Holzbehälter, Holzladungsträger;107775;38567;288260;90289
2015;1629;Holzwaren a.n.g., Kork-, Flecht-, Korbmacherwaren;12360;44971;179747;318515
2015;1711;Holz- und Zellstoff;274425;146134;642116;354435
2015;1712;Papier und Pappe;2306439;1854093;1897417;1507487
2015;1721;Wellpapier und -pappe, Verpackungsmittel;479115;799218;128359;238184
2015;1722;Haushalts-, Hygiene- und Toilettenartikel;201309;420884;223050;427854
2015;1723;Schreibwaren u. Bürobedarf aus Papier,Karton,Pappe;26022;61371;33705;115558
2015;1724;Tapeten;23430;92115;1899;13095
2015;1729;Andere Waren aus Papier, Karton und Pappe;36586;148424;59479;201445
2015;1910;Kokereierzeugnisse;365647;106608;1070731;209801
2015;1920;Mineralölerzeugnisse;5694482;2296518;15571629;6927018
2015;2011;Industriegase;126330;34862;204479;82379
2015;2012;Farbstoffe und Pigmente;680427;1213802;194461;475303
2015;2013;Sonstige anorganische Grundstoffe und Chemikalien;2929559;1623648;1581562;789105
2015;2014;Sonstige organische Grundstoffe und Chemikalien;6983638;8621191;6153003;5598288
2015;2015;Düngemittel und Stickstoffverbindungen;473209;183348;924002;269524
2015;2016;Kunststoffe, in Primärformen;4665059;8014388;2480733;4097767
2015;2017;Synthetischer Kautschuk, in Primärformen;439359;684836;86883;187785
2015;2020;Schädlingsbekämpfungs- und Pflanzenschutzmittel;65747;739089;56792;502080
2015;2030;Anstrichmittel, Druckfarben und Kitte;648991;1635899;225499;600559
2015;2041;Seifen, Wasch-, Reinigungs- und Poliermittel;808599;1381538;587413;754463
2015;2042;Körperpflegemittel und Duftstoffe;150335;707747;147385;964074
2015;2051;Pyrotechnische Erzeugnisse;8950;38707;12267;43214
2015;2052;Klebstoffe;168993;376157;62191;260425
2015;2053;Etherische Öle;16730;212887;15351;324160
2015;2059;Sonstige chemische Erzeugnisse, a.n.g.;1552173;3498094;906704;2932766
2015;2060;Chemiefasern;135588;431294;200793;510264
2015;2110;Pharmazeutische Grundstoffe u.ä. Erzeugnisse;73159;679863;94601;591927
2015;2120;Pharmazeutische Spezialitäten u. pharmaz. Erzeugn.;57225;7699172;50301;6928477
2015;2211;Herstellung und Runderneuerung von Bereifungen;82367;541995;161454;586573
2015;2219;Andere Gummiwaren (ohne Bereifungen);136755;1175876;167790;1063256
2015;2221;Platten,Folien, Schläuche u. Profile aus Kunststo.;649320;2620621;368087;1294031
2015;2222;Verpackungsmittel aus Kunststoffen;266567;926735;351230;825747
2015;2223;Baubedarfsartikel aus Kunststoffen;82396;411873;222533;490467
2015;2229;Sonstige Kunststoffwaren;253238;2089911;281899;1609520
2015;2311;Flachglas (ohne veredeltes u. bearbeit. Flachglas);531963;221733;86690;50301
2015;2312;Veredeltes und bearbeitetes Flachglas;149661;336624;128364;329540
2015;2313;Hohlglas;209068;159304;120454;182558
2015;2314;Glasfasern und Waren daraus;19042;58316;139346;202672
2015;2319;Sonstiges Glas (einschl. technischer Glaswaren);8523;42760;30065;86364
2015;2320;Feuerfeste keramische Werkstoffe;340960;350251;112998;144985
2015;2331;Keramische Wand-, Bodenfliesen und -platten;52912;29976;261594;155380
2015;2332;Ziegel und sonstige Baukeramik;373911;94944;78201;17150
2015;2341;Keramische Haushaltswaren und Ziergegenstände;15264;37245;77427;169448
2015;2342;Sanitärkeramik;5550;30961;35258;78281
2015;2343;Isolatoren und Isolierteile aus Keramik;761;16051;1244;10084
2015;2344;Keramische Waren für sonstige technische Zwecke;3761;85310;4295;55188
2015;2349;Andere keramische Waren, a.n.g.;10049;18287;10381;17864
2015;2351;Zement;2881382;204537;289943;67962
2015;2352;Kalk und gebrannter Gips;790811;66199;262243;30247
2015;2361;Erzeugnisse a. Beton,Zement u.Kalksandstein f. Bau;857031;118293;158235;48375
2015;2362;Gipserzeugnisse für den Bau;52455;10090;61805;9981
2015;2363;Frischbeton (Transportbeton);67898;1971;582;23
2015;2364;Mörtel und anderer Beton, nicht feuerfest;277474;110286;12626;2458
2015;2365;Faserzementwaren;35736;29377;9960;11359
2015;2369;Erzeugnisse aus Beton, Zement und Gips, a.n.g.;105285;24479;49953;29637
2015;2370;Bearbeitete u. verarb. Naturwerk- u. Natursteine;33806;14915;447824;154646
2015;2391;Mühl-,Mahl-,Schleif-,Wetz- u. Poliersteine;13898;179245;24591;253794
2015;2399;Sonstige Erzeugn. aus nichtmet. Mineralien, a.n.g.;232257;496679;196740;369452
2015;2410;Roheisen, Stahl und Ferrolegierungen;6947271;5470367;10723319;8276719
2015;2420;Stahlrohre,Rohrform-,-verschluss- u.-verbind.stück;1737333;3241353;988564;1302933
2015;2431;Blankstahl;224752;427199;346564;546040
2015;2432;Kaltband, Breite<600mm;1107806;1315686;381776;501961
2015;2433;Kaltprofile;126656;174648;89390;160567
2015;2434;Kaltgezogener Draht;229129;375571;223249;323527
2015;2441;Edelmetalle und Halbzeug daraus;92;48026;60;64086
2015;2442;Aluminium und Halbzeug daraus;1203822;3481835;1857939;3530329
2015;2443;Blei, Zink und Zinn und Halbzeug daraus;148038;372479;294442;686736
2015;2444;Kupfer und Halbzeug daraus;358991;2363734;320790;1750467
2015;2445;Sonstige NE-Metalle und Halbzeug daraus;65862;851165;106220;1030239
2015;2446;Kernbrennstoffe;9;562;6209;393907
2015;2451;Eisengießereierzeugnisse;2449;10745;16908;37221
2015;2452;Stahlgießereierzeugnisse;1060;15579;1533;17954
2015;2511;Metallkonstruktionen;391184;931236;318973;698501
2015;2512;Ausbauelemente aus Stahl und Aluminium;50070;240901;21134;79915
2015;2521;Heizkörper u. -kessel für Zentralheizungen, Teile;26031;271455;38169;279109
2015;2529;Sonstige Metallbehälter, Fassungsvermögen>300l;38883;158635;26379;73990
2015;2530;Dampfkessel (-erzeuger), Kernreaktoren, Teile;8932;98642;3469;22496
2015;2540;Waffen und Munition, Teile dafür;593;45229;2293;46057
2015;2571;Schneidwaren und Bestecke, aus unedlen Metallen;9081;292510;19222;258660
2015;2572;Schlösser und Beschläge, aus unedlen Metallen;256060;1999724;174993;1040406
2015;2573;Werkzeuge;55160;1389438;77274;1086551
2015;2591;Metallbehälter, Fassungsvermögen<=300l;57598;202140;16631;45404
2015;2592;Verpackungen und Verschlüsse, aus Eisen, Stahl;61900;383935;23211;111407
2015;2593;Drahtwaren, Ketten und Federn;282512;896493;229823;425788
2015;2594;Schrauben und Nieten;255759;1318237;274996;818440
2015;2599;Andere Metallwaren, a.n.g.;511027;2089948;459175;1793056
2015;2611;Elektronische Bauelemente;2645;1152581;11765;2106300
2015;2612;Bestückte Leiterplatten;1278;145290;5374;351937
2015;2620;Datenverarbeitungsgeräte und periphere Geräte;36804;1507432;191885;8182817
2015;2630;Geräte u. Einricht. d. Telekommunikationstechnik;9380;637928;23919;4062251
2015;2640;Geräte der Unterhaltungselektronik;10585;560210;56517;1725020
2015;2651;Mess-,Kontroll-,Navigations- u.ä. Instr. u. Vorr.;25570;2846136;28828;2339958
2015;2652;Uhren;242;74810;3640;448472
2015;2660;Bestrahlungs-,Elektrotherapie-,elektromed. Geräte;1389;264220;3747;513676
2015;2670;Optische und fotografische Instrumente und Geräte;3378;584886;5069;803890
2015;2680;Magnetische und optische Datenträger;3619;52894;3593;79253
2015;2711;Elektromotoren,Generatoren,Transformatoren,Teile;83103;1567388;163007;1864453
2015;2712;Elektrizitätsverteilungs- und -schalteinrichtungen;42962;2102321;40070;1271657
2015;2720;Akkumulatoren und Batterien;57753;252057;56498;347937
2015;2731;Glasfaserkabel;5612;55075;3270;59221
2015;2732;Sonstige elektronische und elektrische Kabel;118467;1069613;91092;695135
2015;2733;Elektrisches Installationsmaterial;51802;1800539;38605;1032865
2015;2740;Elektrische Lampen und Leuchten;25556;1211392;115895;1601703
2015;2751;Elektrische Haushaltsgeräte, Teile dafür;145758;1553876;304171;1940932
2015;2752;Nicht elektrische Haushaltsgeräte, Teile dafür;10709;81183;32208;165369
2015;2790;Sonstige elektr. Ausrüstungen und Geräte a.n.g.;41103;934565;58535;897650
2015;2811;Verbrennungsmotoren und Turbinen;321323;2602922;54185;627516
2015;2812;Hydraulische, pneumatische Komponenten und Systeme;19485;492082;18212;341400
2015;2813;Sonstige Pumpen und Kompressoren;104099;2308116;86564;1046071
2015;2814;Armaturen;72306;1921566;84664;1137722
2015;2815;Lager, Getriebe, Zahnräder und Antriebselemente;225271;2762924;189543;1453641
2015;2821;Öfen und Brenner, Teile dafür;24327;561738;14386;114062
2015;2822;Hebezeuge und Fördermittel;202275;1797777;126068;698573
2015;2823;Büromaschinen;9781;408698;33907;1436021
2015;2824;Handgeführte, kraftbetrieb. Werkzeuge, Teile dafür;3103;144803;18942;353034
2015;2825;Kälte- u. lufttechn. Erzeugn. für gewerbl. Zwecke;68063;1143940;96092;1337373
2015;2829;Sonstige nicht wirtschaftszweigspezif. Maschinen;141176;3158418;83465;1120727
2015;2830;Maschinen für die Landwirtschaft, Forstwirtschaft;145288;1401491;82830;485484
2015;2841;Werkzeugmaschinen f.d. Metallbearbeitung, Teile;64302;1392672;45759;546266
2015;2849;Werkzeugmaschinen a.n.g., -teile, -zubehör;53842;824626;12175;182806
2015;2891;Masch. f.d. Metallerzg.,Walzwerkseinr., Gießmasch.;66501;388104;25292;109393
2015;2892;Bergwerks-, Bau- u. Baustoffmaschinen, Teile dafür;168781;1555875;163895;770444
2015;2893;Masch.f.Nahrungs-,Futterm.-,Getränkeh.,Tabakv., T.;13588;433815;8715;150393
2015;2894;Masch. f.Textil-,Bekleidungsh.,Ledererzg.,-verarb.;86969;1589575;33798;339534
2015;2895;Maschinen f.d. Papiererzeugung und -verarbeitung;14471;418402;7132;128637
2015;2896;Maschinen f. Kunststo.-,Gummierzeug.,-verarbeitung;33845;1048010;14547;228919
2015;2899;Maschinen f. sonst. best. Wirtschaftszweige a.n.g.;96889;2171771;66699;963144
2015;2910;Kraftwagen und Kraftwagenmotoren;909979;8391327;1148561;12372333
2015;2920;Karosserien, Aufbauten und Anhänger;406108;1852605;250226;691447
2015;2931;Elektr.,elektron. Ausrüstungen für Motoren a.n.g.;15481;333601;49442;804005
2015;2932;Andere Teile und anderes Zubehör für Kraftwagen;1190028;7062193;661062;4203297
2015;3011;Schiffe (ohne Boote und Yachten);18007;38727;91359;177449
2015;3012;Boote und Yachten;238;4918;806;15989
2015;3020;Schienenfahrzeuge;78485;837095;59975;329828
2015;3030;Luft- und Raumfahrzeuge;5392;476790;1681;719765
2015;3040;Militärische Kampffahrzeuge;-;-;-;-
2015;3091;Krafträder;3821;76631;11870;266052
2015;3092;Fahrräder und Behindertenfahrzeuge;7895;96917;36364;479886
2015;3099;Fahrzeuge, a.n.g.;8131;32437;5311;20640
2015;3100;Sitzmöbel und Teile dafür, Teile für Möbel;185054;683543;594996;1822910
2015;3101;Büromöbel, Ladenmöbel aus Holz;40879;211914;48808;107861
2015;3102;Küchenmöbel aus Holz;244746;1117905;35504;42983
2015;3103;Matratzen;9770;48715;27217;128643
2015;3109;Sonstige Möbel;87271;397750;470843;959181
2015;3511;Elektrischer Strom;0;966959;0;240967
2015;3521;Industriell erzeugte Gase;-;-;-;-
2015;8900;Sonstige Waren;8483088;11712051;9472625;17756827
2015;8988;Sperrungen in der Außenhandelsstatistik;-;-;-;-
2015;;Insgesamt;98685758;180929538;189840901;209684737
2014;0111;Getreide (ohne Reis), Hülsenfrüchte und Ölsaaten;997239;239186;3355364;1187214
2014;0112;Reis;-;-;2922;2428
2014;0113;Gemüse und Melonen sowie Wurzeln und Knollen;957223;151042;1593086;1173660
2014;0114;Zuckerrohr;-;-;4;5
2014;0115;Tabak;26;125;702;36592
2014;0116;Faserpflanzen;2;2;21879;24287
2014;0119;Sonstige einjährige Pflanzen;50833;102995;127868;466238
2014;0121;Wein- und Tafeltrauben;974;2012;76975;144785
2014;0122;Tropische und subtropische Früchte;-;-;283917;207210
2014;0123;Zitrusfrüchte;-;-;285913;226488
2014;0124;Kern- und Steinobst;2832;3387;291583;269584
2014;0125;Sonstiges Baum- und Strauchobst und Nüsse;10790;78352;154395;502354
2014;0126;Ölhaltige Früchte;111;353;2028;3252
2014;0127;Pflanzen zur Herstellung von Getränken;-;-;95987;233474
2014;0128;Gewürzpflanzen, Pflanzen für z.B. pharmaz. Zwecke;1769;13840;15938;52096
2014;0129;Sonstige mehrjährige Pflanzen;5949;7103;29362;32811
2014;0130;Baumschulerzeugnisse,Pflanzen z.Vermehrungszweck.;112188;299831;363787;611459
2014;0141;Kühe und Färsen, lebend;12171;34981;3218;8362
2014;0142;Sonstige Rinder und Büffel, lebend, Sperma;17219;42382;1965;7662
2014;0143;Pferde und Esel, lebend;552;17082;343;7084
2014;0144;Kamele und Kamelartige, lebend;-;-;-;-
2014;0145;Schafe und Ziegen, lebend;0;2;155;303
2014;0146;Schweine, lebend;46777;89363;282709;451010
2014;0147;Geflügel, lebend, sowie Eier;156707;133417;158653;218652
2014;0149;Sonstige Nutztiere und tierische Erzeugnisse;1807;8687;1497;11197
2014;0210;Waldbestand sowie Erzeugnisse von Forstbaumschulen;101;261;1876;2319
2014;0220;Rohholz;418702;39855;467741;52320
2014;0230;Wildwachsende Produkte (ohne Holz);8497;20261;23730;57234
2014;0300;Fische u. Fischereierzeugnisse, Aquakulturerzeug.;748;5421;12632;64410
2014;0510;Steinkohle;179397;34907;25703315;1952842
2014;0520;Braunkohle;854530;71076;45375;2760
2014;0610;Erdöl;-;-;24197009;13534888
2014;0620;Erdgas, verflüssigt oder gasförmig;-;-;17858258;5649502
2014;0710;Eisenerze;63417;3185;22130027;1729660
2014;0721;Uran- und Thoriumerze;-;-;-;-
2014;0729;NE-Metallerze (ohne Uran- und Thoriumerze);120652;50435;947238;617718
2014;0811;Natur-,-werk-, Kalk-, Gipssteine, Kreide, Schiefer;102311;6482;648506;16255
2014;0812;Kies, Sand, Ton und Kaolin;12739869;130011;1538242;131317
2014;0891;Chemische und Düngemittelminerale;223575;29986;463817;70731
2014;0892;Torf;28732;5114;93856;8283
2014;0893;Salz, reines Natriumchlorid (ohne Speisesalz);1096010;34830;1921152;77987
2014;0899;Steine, Erden, a.n.g., sonstige Bergbauerzeugnisse;466276;26823;793196;159877
